OPK Wrapper Title|OPK Wrapper file name|Icon|Browse|Core|Core name|ROM extensions|ROM path
Phillips Videopac|VIDEOPAC|videopac|true|o2em_libretro.so|O2em|bin,7z,zip|/media/sdcard/roms/VIDEOPAC/
SEGA 32X|32X_Picodrive|32x|true|picodrive_libretro.so|Picodrive|zip,32x,7z|/media/sdcard/roms/32X/
SEGA MD|MD_Pic|md|true|picodrive_libretro.so|Picodrive|zip,bin,smd,md,gen,7z|/media/sdcard/roms/MD/
SEGA CD|SEGACD_Pic|segacd|true|picodrive_libretro.so|Picodrive|bin,chd,7z,zip|/media/sdcard/roms/SEGACD/
SEGA MS|SMS_Pic|sms|true|picodrive_libretro.so|Picodrive|zip,sms,7z|/media/sdcard/roms/SMS/
PocketCDG|CDG|cdg|true|pocketcdg_libretro.so||cdg,7z|/media/sdcard/roms/CDG/
PokeMini|POKEMINI|pokemini|true|pokemini_libretro.so||min,zip,7z|/media/sdcard/roms/POKEMINI/
Watara Supervision|SUPERVISION|supervision|true|potator_libretro.so|Potator|sv,bin,7z,zip|/media/sdcard/roms/SUPERVISION/
Doom|PRBOOM|doom|true|prboom_libretro.so|PrBoom|wad,zip,7z|/media/sdcard/roms/DOOM/
Atari 7800|A7800|a7800|true|prosystem_libretro.so|ProSystem|bin,a78,7z,zip|/media/sdcard/roms/A7800/
NEC PC-88|PC88|pc88|true|quasi88_libretro.so|Quasi88|d88,u88,m3u,zip,7z|/media/sdcard/roms/PC88/
Nintendo NES|FC_QuickNES|fc|true|quicknes_libretro.so|QuickNES|zip,nes,7z|/media/sdcard/roms/FC/
Neo Geo Pocket|NGP|ngp|true|race_libretro.so|Race|ngp,ngc,ngpc,npc,zip,7z|/media/sdcard/roms/NGP/
PICO-8|PICO8|pico8|true|retro8_libretro.so|Retro8|p8,png|/media/sdcard/roms/PICO8/
ScummVM|SCUMMVM|scummvm|true|scummvm_libretro.so|||/media/sdcard/roms/SCUMMVM/
Nintendo SNES|SFC_S9x2005|sfc|true|snes9x2005_libretro.so|Snes9x|smc,sfc,zip,7z|/media/sdcard/roms/SFC/
Nintendo SNES|SFC_S9x2005Plus|sfc|true|snes9x2005_plus_libretro.so|Snes9x+|smc,sfc,zip,7z|/media/sdcard/roms/SFC/
Atari 2600|A2600|a2600|true|stella2014_libretro.so|Stella|bin,a26,7z,zip|/media/sdcard/roms/A2600/
TIC-80|TIC80|tic80|true|tic80_libretro.so||tic,7z,zip|/media/sdcard/roms/TIC80/
Quake|QUAKE|quake|true|tyrquake_libretro.so|TyrQuake|pak,zip,7z|/media/sdcard/roms/QUAKE/
VaporSpec|VAPORSPEC|vaporspec|true|vaporspec_libretro.so||vaporbin|/media/sdcard/roms/VAPORSPEC/
Commodore 64|C64|c64|true|vice_x64_libretro.so|Vice|crt,d64,t64,bin,7z,zip|/media/sdcard/roms/C64/
Quake2|QUAKE2|quake2|true|vitaquake2_libretro.so|VitaQuake 2|pak|/media/sdcard/roms/QUAKE2/baseq2/
Quake2 Ground Zero|QUAKE2_rogue|quake2|true|vitaquake2-rogue_libretro.so|VitaQuake 2 [Rogue]|pak|/media/sdcard/roms/QUAKE2/rogue/
Quake2 The Reckoning|QUAKE2_xatrix|quake2|true|vitaquake2-xatrix_libretro.so|VitaQuake 2 [Xatrix]|pak|/media/sdcard/roms/QUAKE2/xatrix/
Quake2 Zaero|QUAKE2_zaero|quake2|true|vitaquake2-zaero_libretro.so|VitaQuake 2 [Zaero]|pak|/media/sdcard/roms/QUAKE2/zaero/
WASM-4|WASM4|wasm4|true|wasm4_libretro.so||wasm|/media/sdcard/roms/WASM4/
Sharp X1|X1|x1|true|x1_libretro.so||dx1,zip,2d,2hd,tfd,d88,88d,hdm,xdf,dup,tap,cmd,7z|/media/sdcard/roms/X1/
Rick Dangerous|XRICK|xrick|true|xrick_libretro.so||zip|/media/sdcard/roms/XRICK/
